,screen_name_binary,name_binary,description_binary,status_binary,verified,followers_count,friends_count,statuses_count,listed_count_binary,bot
0,True,False,False,True,False,1291,0,78554,True,1
1,True,False,False,False,False,1,349,31,True,1
2,True,True,True,True,False,1086,0,713,True,1
3,True,True,False,False,False,33,0,676,True,1
4,False,False,True,False,False,11,745,185,True,1
5,False,False,True,False,False,1,186,11,True,1
6,False,True,True,False,False,193,0,6068,True,1
7,False,False,True,False,False,8227,2,2597,True,1
8,True,True,True,False,False,275,0,9922,True,1
9,True,False,False,False,False,51,3,2515,True,1
10,True,True,True,True,False,51,1,111,True,1
11,True,True,True,False,False,2,1,230,True,1
12,False,False,False,False,False,0,29,0,True,1
13,False,False,False,False,False,1,206,0,True,1
14,False,False,False,False,False,0,38,0,True,1
15,False,False,False,False,False,109,0,16067,True,1
16,True,True,True,True,False,250,0,31721,True,1
17,True,True,False,False,False,15,1941,406,True,1
18,True,True,True,False,False,190,1899,0,True,1
19,False,False,True,True,False,181,0,21506,True,1
20,False,False,True,True,False,10175,11465,65022,True,1
21,False,False,False,True,False,23,4,6230,True,1
22,True,True,True,True,False,106126,0,30156,True,1
23,True,True,True,True,False,2302,3,7640,True,1
24,True,True,True,True,False,443,2,9584,True,1
25,True,True,True,True,False,27,1,145,True,1
26,False,False,False,False,False,191,2,5684,True,1
27,False,False,False,True,False,1,35,82,True,1
28,True,True,True,True,False,651,0,19867,True,1
29,True,True,True,True,False,37,45,191,True,1
30,True,True,True,False,False,331,56,29989,True,1
31,False,False,True,False,False,1327,2,24199,True,1
32,False,False,False,False,False,0,52,0,True,1
33,False,False,False,False,False,54,0,1585,True,1
34,True,True,True,True,False,4247,2,109325,True,1
35,False,False,False,False,False,0,54,18,True,1
36,True,True,True,True,False,163,2,552492,True,1
37,True,True,False,True,False,32,1,6181,True,1
38,True,True,True,True,False,903,1,3654,True,1
39,True,True,True,True,False,108,10,537,True,1
40,False,False,False,False,False,190,1,4032,True,1
41,False,False,False,False,False,675,118,15437,True,1
